id_lokalId,byg026Opførelsesår,byg069Sikringsrumpladser,status,decade,latitude,longitude,oc_confidence,oc_formatted,oc_category,oc_type
867E3EE9-DBFB-4480-A9E5-05D10669F72A,1952,25,10,1950s,56.170130815444175,10.19261649305785,9,"Jens Baggesens Vej, 8000 Aarhus C, Denmark",road,road
919E702B-3D6C-47A9-BDEA-3007DE754B83,1966,457,6,1960s,56.18874525680296,10.113512392586262,9,"Tilst Skole, Tilst Skolevej, 8381 Tilst, Denmark",education,school
C4D75A33-A034-483C-AC4C-4070DAB749B6,1965,290,10,1960s,56.18740031715569,10.21467997839493,10,"Møllehatten 25, 8240 Risskov, Denmark",building,building
3B031F04-CD10-4AE8-B5CA-4482DC9C27F5,1956,80,10,1950s,56.12430045927356,10.169959878739327,10,"Enghavevej 34, 8260 Viby, Denmark",building,building
7B502C8E-0169-4E4B-9E89-45A7A953C3FA,1963,60,10,1960s,56.18592068449922,10.210768279021856,10,"Møllehatten 6, 8240 Risskov, Denmark",building,building
91C22BC0-752B-4E93-A22D-495B4481EFF2,1962,66,10,1960s,56.1286627202639,10.168821153269954,9,"Viby Kirkegård, Kirkevej, 8260 Viby, Denmark",outdoors/recreation,cemetery
3782ECDB-1347-4D1F-B07C-568D761EA736,1973,299,10,1970s,56.159900548683936,10.133861065043298,9,"Yggdrasil, Dortesvej, 8220 Brabrand, Denmark",social,social_facility
164998F2-3425-431B-B2FA-58B2B0E21A87,1986,230,10,1980s,56.20391578054525,10.180516282317429,9,"Graham Bells Vej, 8200 Aarhus N, Denmark",road,road
1E458A81-8B26-4451-8428-5AFC61589F3C,1966,251,6,1960s,56.18950721483383,10.111734526920229,9,"Tilst Skole, Tilst Skolevej, 8381 Tilst, Denmark",education,school
6B6EB3F6-60FA-4D8D-A584-6261F7ED7303,1950,20,10,1950s,56.17065373076647,10.193123138668025,10,"Helsingforsgade 3, 8200 Aarhus N, Denmark",building,building
E1EA034A-3003-4953-92BC-85FBB0E5DACB,1990,31,10,1990s,56.12227768106996,10.166678866481961,10,"Engtoften 14L, 8260 Viby, Denmark",building,building
7D8A903D-1D1C-4A87-9EB1-86144A18BA38,1981,95,10,1980s,56.18592068449922,10.210768279021856,10,"Møllehatten 6, 8240 Risskov, Denmark",building,building
4627C4A4-78DB-4882-BC85-88FE956297B6,1976,26,10,1970s,56.17668603462866,10.13582701814904,9,"Runevej, 8210 Aarhus V, Denmark",road,road
01F4A5E8-FF01-4F6E-8788-964D02213F4D,1961,120,10,1960s,56.18554760168022,10.21023674033111,9,"Møllehatten, 8240 Risskov, Denmark",road,road
A2BA7B63-F3F4-455F-9D93-96BC257D461B,1936,50,10,1930s,56.15762975893303,10.151105501790019,10,"Jacob Knudsens Vej 18B, 8230 Åbyhøj, Denmark",building,building
96954762-13C6-41CE-B8C8-AA2712552970,1959,22,10,1950s,56.123517663620575,10.169417004708409,10,"Engtoften 52, 8260 Viby, Denmark",building,building
077A7441-DF79-4CDA-8DAA-B197E6B8B5CB,1970,55,10,1970s,56.20336687071994,10.180675609826386,10,"Graham Bells Vej 9, 8200 Aarhus N, Denmark",building,building
BE3B7190-3BF2-433C-B50E-C6B33F1DA86A,1960,10,10,1960s,56.12389858360164,10.167552373565997,10,"Engkrogen 10, 8260 Viby, Denmark",building,building
BFE2F83A-A1E0-4F52-881A-CE9AC700F4D9,1959,100,10,1950s,56.18561894263147,10.21449818698727,10,"Broloftet 27, 8240 Risskov, Denmark",building,building
3D278EFD-B358-4DEC-92AB-D2B04D9C8943,1998,200,10,1990s,56.15763795662228,10.198889343580296,10,"V Allé 26, 8000 Aarhus C, Denmark",building,building
EC7B8215-5B5E-475E-B094-D2CD61F2C897,1965,70,10,1960s,56.15641731832314,10.190855585325963,10,"Ceresbyen 31, 8000 Aarhus C, Denmark",building,building
2F05590B-B45A-457D-989F-DE3D0CA53A22,1950,372,10,1950s,56.14522632312634,10.196757991432614,9,"Frederiksbjerg Skole, Kroghsgade, 8000 Aarhus C, Denmark",education,school
7170876E-A799-4057-BE9F-ED742D7DAEC4,1953,333,10,1950s,56.184366767142265,10.21365271265265,9,"Broloftet, 8240 Risskov, Denmark",road,road
390D370F-247A-4DF7-9773-F39F071AC9B5,1960,36,10,1960s,56.12360290292052,10.1702649393912,10,"Engtoften 62, 8260 Viby, Denmark",building,building
FC7D40D4-DD96-4042-9AE9-B6350B279054,1954,180,6,1950s,56.1297392054313,10.158745505254947,10,"Vestergårdsvej 29, 8260 Viby, Denmark",building,building
FAEA9BFE-4823-4EDD-B8BC-56A387F8EFBE,1983,137,6,1980s,56.124353108233656,10.136718200035306,10,"Grøfthøjparken 157H, 8260 Viby, Denmark",building,building
FAB1C208-7BFA-4280-800D-199D333D68A0,1953,34,6,1950s,56.127574869713406,10.162648577986978,10,"Fredensvej 14, 8260 Viby, Denmark",building,building
F97CADBF-824B-4E98-A01C-7B40D2451ECC,1959,80,6,1950s,56.129746083618826,10.175045913733996,10,"Kaj Munks Vej 16, 8260 Viby, Denmark",building,building
F5C79142-72D3-41AC-9073-67748CB52807,1969,126,6,1960s,56.123799266153,10.137428656626193,10,"Grøfthøjparken 154, 8260 Viby, Denmark",building,building
F3D4B0AC-6A46-409A-8BE7-99033329AC6A,1962,83,6,1960s,56.15120953723276,10.11955944584176,10,"Engdalsvej 65A, 8220 Brabrand, Denmark",building,building
F3C8A850-AD24-43B7-A50D-4765EB0C8566,1947,152,6,1940s,56.13061945402948,10.16641897853408,10,"Birkedalsvej 2, 8260 Viby, Denmark",building,building
