byg026Opførelsesår,byg069Sikringsrumpladser,kommunekode,byg404Koordinat
1968,28,751,POINT (574086.95 6227182.96)
1990,30,751,POINT (572924.83 6230032.99)
1997,120,751,POINT (573685.43 6223949.05)
1968,120,751,POINT (573022.19 6220243)
1970,180,751,POINT (571248.73 6218543.47)
1993,550,751,POINT (575097.54 6224009.07)
1986,204,751,POINT (567705.52 6223959.03)
1972,79,751,POINT (568377.05 6227482.08)
1959,250,751,POINT (574663.37 6222511.5)
1982,875,751,POINT (574409.05 6223794.22)
1992,28,751,POINT (574527.25 6224341.5)
1979,45,751,POINT (577763.16 6229496.51)
1992,33,751,POINT (568698.81 6219041)
1957,110,751,POINT (572963.94 6224079.99)
1972,79,751,POINT (568336.44 6227735.5)
1986,250,751,POINT (569751.19 6226691.13)
1957,32,751,POINT (573203.44 6226411.5)
1974,133,751,POINT (568483.26 6228038.22)
1970,111,751,POINT (571460.86 6219353.73)
1971,58,751,POINT (572275.2 6223662.93)
1971,61,751,POINT (574020.89 6219873.55)
1962,20,751,POINT (571924.14 6218848.92)
1953,34,751,POINT (572268.4 6220893.46)
1990,43,751,POINT (578676.92 6234136.47)
1972,111,751,POINT (576379.09 6233425.67)
1970,135,751,POINT (575020.31 6228697.5)
1975,68,751,POINT (572501.54 6226434.54)
1968,95,751,POINT (571302.25 6223096)
1972,146,751,POINT (570416.8 6224254.48)
1983,70,751,POINT (574614.45 6224352.69)
1989,262,751,POINT (570788.07 6219022.04)
1991,63,751,POINT (567045.03 6218986.09)
1965,33,751,POINT (569021.49 6224837.67)
