id_lokalId,byg026Opførelsesår,byg069Sikringsrumpladser,kommunekode,byg404Koordinat,status
C3DB97FA-B231-41FC-8EC0-1D81524FADCA,1971,201,751,POINT (570922.31 6220391.6),6
C29E6F7A-BD86-415D-9947-32E23452F05E,1955,100,751,POINT (572298.42 6221184.15),6
BCCE219F-A9B3-41B8-91FB-1272E9D028A2,1969,81,751,POINT (571848.08 6219536.93),6
BB3BE0FA-5367-4340-A1A3-D573E1106E1E,1968,92,751,POINT (571624.42 6219050.57),6
BA941BDB-C69A-4CF5-BB07-F5FB6EFFCF81,1971,201,751,POINT (570858.52 6220392.35),6
B8343A84-3D7E-4FDA-9F2F-964CB1725F89,1971,109,751,POINT (571333.54 6220447.25),6
B520C894-CD53-4551-985E-6892B7002680,1954,186,751,POINT (572075.62 6220963.54),6
B3A1AABF-60B3-4855-A309-FE1EE3615C31,1955,582,751,POINT (572363.25 6221285),6
B0F5E172-2BC7-40BA-8C7C-DC697F3D7627,1970,578,751,POINT (570816.89 6220479.06),6
AE981EFF-6C31-416E-9F1F-A17C2797EBA3,1953,10,751,POINT (573206.51 6221761.94),6
AB3D39C2-52B1-4552-B4CB-615F4A80DB45,1968,92,751,POINT (571598.26 6219005.25),6
A98F8D19-4231-4457-91B9-A7DC38F4021D,1953,20,751,POINT (573176.56 6221755.43),6
A7D25246-EA51-4442-8057-0F7416A99F73,1991,171,751,POINT (568646.72 6223914.99),6
A39B7A66-5C1A-4CD7-AEE9-72C4ADC99145,1965,100,751,POINT (573091.46 6221051.08),6
A1D2248C-04EB-4788-AD32-3C499C2C6E93,1954,72,751,POINT (572050.86 6221030.24),6
9DA8D214-4C68-4FE0-866E-74512F231E96,1969,69,751,POINT (569632.39 6223401.62),6
9B41DF98-B432-4902-8FE8-1F2DB0EBA214,1968,73,751,POINT (571785.71 6221176.51),6
9A6F1FDD-33F8-4E7E-8FB5-654CCD13B1B3,1966,109,751,POINT (572963.61 6220966.21),6
957E389C-9AE2-40A6-B2B7-8F886A91CB2D,1971,109,751,POINT (571413.27 6220529.35),6
936FC200-038A-41F5-B64B-DF6FA279B2A1,1967,150,751,POINT (572902.77 6220255.27),6
9117A8A9-0C3B-405B-B351-981AD6873917,1957,95,751,POINT (572988.6 6221136.76),6
8D3AF752-6FBE-45FF-86BC-A0D7D0B97BA6,1971,70,751,POINT (567448.22 6223930.04),6
8BAAEE3C-AA20-45CE-8E6D-78FD2F1E6AF7,1967,60,751,POINT (572965.44 6220235.91),6
88E4AD89-BB86-4B9D-BE35-8B27E5ED798D,1953,10,751,POINT (573071.82 6221699.24),6
88A063FE-478E-48AA-A07C-421689EE75CD,1969,40,751,POINT (572993.19 6219567.76),6
846BBB84-7DE3-4C40-B1DC-2D00027FC4A2,1968,92,751,POINT (571518.75 6218799.96),6
841CC6AF-97ED-4695-B551-E26E6B8D8BD3,1962,112,751,POINT (573170.56 6221223.72),6
80C2BCF4-148E-4F39-B4B3-891A134F6FEF,1953,20,751,POINT (573151.23 6221743.82),6
807C59EA-EA1D-4DE2-96DD-80EFFE27C550,1955,60,751,POINT (572226.44 6221213.16),6
8077A5A2-A099-4EE8-9119-AAF16ACC1EB8,1965,110,751,POINT (572129.98 6219516.66),6
7D0FB502-811A-4581-944B-58926F688ECB,1978,10,751,POINT (572899.23 6219541.88),6
7C588422-2B38-4D45-891E-CE404199C082,1960,36,751,POINT (572508.67 6220424.64),6
7AFF25AA-28D3-4AC0-93F5-3CB959E7943E,1956,134,751,POINT (572732.57 6219600.24),6
79D9EC0C-4D82-43A0-B4D0-B490B608D10C,1967,110,751,POINT (573108.35 6220988.99),6
791F965E-3ACF-406E-9B95-F9C7CC57E47C,1958,35,751,POINT (573000.41 6221085.33),6
7663E8C1-44C3-40C8-AA05-72D2F58A71A1,1992,33,751,POINT (568790.96 6219287.59),6
73556410-90C8-4409-B65F-87A002E21D88,1953,14,751,POINT (573232.88 6221773.55),6
72E011C4-2936-4952-A67B-99A4961CC663,1972,270,751,POINT (570206.72 6220489.96),6
6D1DB567-E604-4016-8A03-03B964B305A8,1955,60,751,POINT (572243.7 6221180.66),6
6A448F2B-AFCB-4415-B5ED-AC2B52358631,1965,110,751,POINT (572101.34 6219479.61),6
67FD11DF-A250-4659-A74E-A47091B88AA4,1992,33,751,POINT (568772.34 6219153.98),6
67948636-163C-4563-9DEC-925D1EAE73AE,1963,150,751,POINT (567493.21 6223786.17),6
66565BB1-7099-4B75-AF08-D0D11BE537FC,1969,53,751,POINT (572966.31 6219535.74),6
662618BE-2D5E-4FF0-9868-92E2E804B9AA,1959,42,751,POINT (572835.53 6220492.8),6
65403FED-201F-4A83-9208-15106E237C0B,1953,38,751,POINT (573207.1 6221821.9),6
61A1C259-A0BD-4DFE-9AAC-B952B22074D9,1968,92,751,POINT (571667.23 6218960.35),6
615BB752-EC83-46CD-87FA-19374F982E6C,1955,72,751,POINT (572846.09 6220436.17),6
5FE7FAD8-A2D5-424A-89B9-9CA8DC80E37B,1961,39,751,POINT (572921.24 6220453.55),6
5F3F0664-23C0-42B3-8A5B-51993AB9F5A5,1962,84,751,POINT (573213.54 6221201.57),6
5B8D5F84-3CDB-4877-B791-A6C29A3EBA61,1968,259,751,POINT (571677.78 6219075.66),6
5B240662-5F8B-4A66-91FF-A541884F57A8,1968,92,751,POINT (571625.11 6218926.58),6
5857947E-2D22-40C4-9D92-6C0AAF6ED94C,1971,109,751,POINT (571317.55 6220546.27),6
568F8A07-F9F3-437A-BA9E-CFFB42466831,1958,95,751,POINT (572977.21 6221099.91),6
558FAE1F-A95A-4385-B9E5-651AA91DEC40,1968,73,751,POINT (571766.28 6221271.71),6
53F7F70E-9F57-4815-BB6B-B3662245EBA0,1963,85,751,POINT (571613.52 6220080.56),6
4DAD748D-D443-4056-B2B5-41A042D7574F,1965,110,751,POINT (572888.24 6220513.89),6
4C426742-930C-4F10-A676-C5018D30B59F,1968,38,751,POINT (571692.1 6219004.18),6
4A669A0B-DC5F-47F0-A62E-CBDE037506CB,1992,245,751,POINT (569788.86 6221693.03),6
466B6434-316B-41B3-BF09-237066F367A2,1964,84,751,POINT (573328.64 6221277.99),6
42E505FF-C9C2-4413-9492-E920908EEF17,1991,226,751,POINT (568638.03 6223968.06),6
36A1F402-1CF4-4586-AC6C-09EC3EA25BDA,1962,25,751,POINT (572621.79 6221129.11),6
2A06ADF8-652D-4CFC-BFD5-5F070DFEB1F8,1968,73,751,POINT (571715.62 6221221.98),6
28732121-3543-4873-A0B2-65BFAF596FE2,1993,111,751,POINT (573242.82 6218991.01),6
1FE11E89-DDD5-46B8-B848-A017C840A047,1969,81,751,POINT (571972.59 6219472.01),6
1EB23C05-EDEF-4048-9D45-F4102284CE99,1968,86,751,POINT (571990.57 6219348.45),6
1C6EF146-73DC-43D3-A930-743A7C06DC5A,1956,72,751,POINT (571990.22 6220759.29),6
19EF5C2F-AB4D-41C3-A5E9-45FC63607C31,1968,92,751,POINT (571504.86 6218858.77),6
1962070C-26A9-436D-A1FE-BD6E81A1CC76,1963,135,751,POINT (571644.15 6220143.64),6
18FFE4CD-E782-4F1D-B2CF-C4AAA9AEBA57,1968,95,751,POINT (573173.6 6221026.1),6
1894820E-78D6-4B3C-8A9C-69161D3A55AB,1983,194,751,POINT (570615.09 6220421.27),6
15090795-A9B7-42DD-A06A-1FA4CA0A5367,1968,73,751,POINT (571807.85 6221237.38),6
13EBE696-3824-428F-AE38-5A483E997A5F,1962,39,751,POINT (572892.63 6220465.21),6
136EE279-3DBE-42AD-9201-EDEC5DD09B6F,1963,112,751,POINT (573253.5 6221249.05),6
12925EAF-01D7-45B7-8BAB-B2F50FA7224B,1967,97,751,POINT (573031.25 6220995.18),6
117CDE07-2E9D-421D-946F-B6079F5AC2CF,1955,50,751,POINT (572315.07 6221264.48),6
0E7E6B65-3463-4966-9C16-9E5EB1C61234,1969,81,751,POINT (572037.25 6219615.17),6
0D6D462D-618C-4BE3-A269-667EBD874BBB,1971,109,751,POINT (571407.47 6220576.69),6
0CB84206-BE1A-4B64-9010-E0C30A2BF53D,1991,24,751,POINT (571121.88 6216677.29),6
0BC49070-1F4E-46C2-A43B-9EC22C883B92,1963,156,751,POINT (568592.88 6223910.92),6
0A8B8187-2046-40F3-BAE6-4E242B85A413,1968,162,751,POINT (571500.99 6218753.81),6
06293269-FCEE-4B75-93CE-161139C13A8F,1953,20,751,POINT (573124.75 6221731.7),6
0187B1D0-7C56-45BA-8FD0-4225BBA59F65,2000,50,751,POINT (573919.48 6218769.02),6
017BCA0D-776F-4DAD-BD4B-5DE71D64145D,1991,31,751,POINT (561379.73 6222697.18),6
00B4C935-2C23-41F3-B081-6F3C2336355A,1961,43,751,POINT (572845.02 6220372.67),6
FF402C5E-DE2C-483E-B9B2-204DE7E3BE85,1965,96,751,POINT (570112.14 6224186.31),6
FEE256F2-8807-4531-8883-DAA98E40E72D,1990,31,751,POINT (577525.13 6229647.02),6
