uuid,identifier,createdBy,createdAt0,modifiedBy,modifiedA0,FeatureID,FeatureTy0,ShelterAu0,ShelterTi0,FeatureSo0,NumberOfI0,FeatureDe0,Latitude,Longitude,Northing,Easting,Accuracy,LanduseOn0,LanduseAr0,OverviewP0,LocaleDes0,EntrywayT0,Accessibl0,EntrywayF0,CommentsO0,EntrywayP0,Emergency0,Emergency1,NotesOnEm0,Emergency2,DistanceF0,InteriorD0,InteriorP0,CommentsA0
1000051684149485094,172-{Shelter_Type_III},Lise Søndergaard Jensen,2023-05-15 11:18:44.250 GMT,Lise Søndergaard Jensen,2023-05-15 11:52:36 GMT,172,Shelter Type III,Lise Søndergaard Jensen,2023-05-15 13:18:05+02:00,Map,1,Not visible in the surroundings.,56.153729266666666,10.20160025,6223839.538655763,574641.3585458478,0.7,Shrubs,Street,files/app/151bc696-e46f-4ee6-9ee4-83f2b5a60e81_image-1684150802857.original.jpg - files/app/a9ee0d41-314d-4af5-b485-060295b1cf47_image-1684151078815.original.jpg,"located at the corner of Vester Alle and Christiansgade. along vester alle, close to museum of art, Aros.",Concrete slabs (covered in vegetation.),Barred (concrete slabs or earthen cover bar access fully or partially),NE,"not visible, not accessible.",files/app/34ff09e9-e04e-406c-8c33-aec4dd94f3cb_image-1684150991209.original.jpg - files/app/4e461e4e-61c5-4c08-986c-752d4e100e3c_image-1684151145271.original.jpg - files/app/eefbaa00-842e-4905-9fbd-4934600cc8c3_image-1684151269629.original.jpg,Square,Side,covered in plants. swan neck visible.,files/app/8b746168-ae95-43b5-80c9-ceeaa1326519_image-1684151028571.original.jpg,0.3,not able to enter the shelter.,NA,not any.
1000051684154093178,173-{Shelter_Type_VI},Lise Søndergaard Jensen,2023-05-15 12:35:06.829 GMT,Lise Søndergaard Jensen,2023-05-15 12:50:10 GMT,173,"Shelter Type VI,it could be a type VI-A3",Lise Søndergaard Jensen,2023-05-15 14:34:53+02:00,Map,2,Only the exits are visible.,56.15008676666667,10.201459283333334,6223434.009480528,574639.6632833099,0.6,Other (parking lot ),Street,"files/app/5dbc577b-4eb8-4bbb-9b73-0c5edd0ebcf3_image-1684154426781.original.jpg (Entrance to the left, Maria sitting at the exit to the right.)","Located at Orla Lehmanns Alle, in the middle of the parking lot.",Other (covered in vegetation )?,Barred (concrete slabs or earthen cover bar access fully or partially),N,"not visible, not accessible.",files/app/7311c8c8-1592-4c00-901e-87a9721ef33e_image-1684154599647.original.jpg - files/app/9addcc75-ada2-4ca0-9c7a-ff32a4c0e175_image-1684154619595.original.jpg,Round,Side,"visible, swan neck not there.",files/app/c1df84b7-17d5-4ef9-90be-765961fab92b_image-1684154646530.original.jpg,0.0,not able to enter the shelter.,NA,not any.
1000051684155032900,174-{Shelter_Type_VI},Lise Søndergaard Jensen,2023-05-15 12:50:32.901 GMT,Lise Søndergaard Jensen,2023-05-15 12:50:45 GMT,174,"Shelter Type VI,it could be a type VI-A3",Lise Søndergaard Jensen,2023-05-15 14:50:32+02:00,Map,2,Only the exits are visible.,56.14988006666667,10.201229633333334,6223410.757226573,574625.7978544246,0.6,Structure (parking lot ),Street,"files/app/26356de5-dfa5-4ea6-855f-02faef7abe4b_image-1684155296964.original.jpg (entrance at the left in the vegetation, exit close to the blue sign ''Billetautomat'' at the right.)","Located at Orla Lehmanns Alle, in the middle of the parking lot.",Concrete slabs,Barred (concrete slabs or earthen cover bar access fully or partially),S,visible and accessible.,files/app/08753962-dedc-4c9d-a8e1-773ccc281714_image-1684155203946.original.jpg,Round,Side,"visible, swan neck not there.",files/app/e4a463ca-8c8b-4053-a8ed-8ea6cfbb983e_image-1684155049912.original.jpg,0.0,not able to enter the shelter.,NA,not any.
1000051684157808105,175-{Shelter_Type_VI},Lise Søndergaard Jensen,2023-05-15 13:38:27.224 GMT,Lise Søndergaard Jensen,2023-05-15 13:46:04 GMT,175,"Shelter Type VI,could be VI-A3.",Lise Søndergaard Jensen,2023-05-15 15:36:48+02:00,Map,1,Could be VI-A3 entrance and exit is visible.,56.15863301666667,10.210499066666667,6224394.945253992,575184.5290355462,0.6,Grass,Street,files/app/2e4029eb-e59b-4ab6-a794-3a81a7b22062_image-1684158550894.original.jpg - files/app/ba191485-1b1e-477e-8725-e81fe5ce640a_image-1684158497587.original.jpg (difficult to take good overview picture due to amount of people.),"Located in the street, Graven, opposite no 16, next to Rosenpassagen.",Doorway,Locked,NW,visible and accessible.,files/app/42003451-fb53-439b-953c-6b53db8a3c37_image-1684158240363.original.jpg,Round,Side,visible and accessible.,files/app/c3604d8f-ef35-43ba-8043-29292f598d8c_image-1684158103046.original.jpg,3.0,not able to enter the shelter.,NA,not any.
1000051684163413180,176-{Shelter_Type_III},Lise Søndergaard Jensen,2023-05-15 15:10:27.414 GMT,Lise Søndergaard Jensen,2023-05-15 15:17:28 GMT,176,Shelter Type III,Lise Søndergaard Jensen,2023-05-15 17:10:13+02:00,Map,3,"Entrance, exit and shape are visible.",56.17771368333333,10.220278816666667,6226529.150277009,575754.3442134426,0.8,Trees,Forest,files/app/f6966b10-2486-495f-b5c5-4a422e0353c7_image-1684163682979.original.jpg,Located at Marienlund Allé. Entrance from where Grenaavej meets Dronning Margrethes Vej.,Concrete slabs,Barred (concrete slabs or earthen cover bar access fully or partially),NW,visible and accessible.,files/app/cbf9d8b5-1188-426b-8a6d-acb5197118dd_image-1684163657770.original.jpg,Square,Side,visible and accessible.,files/app/9a301dff-86da-4367-9711-52da49a19e04_image-1684163768515.original.jpg,0.35,not able to enter the shelter.,NA,Not any.
1000051684163871417,177-{Shelter_Type_III},Lise Søndergaard Jensen,2023-05-15 15:17:51.417 GMT,Lise Søndergaard Jensen,2023-05-15 15:18:45 GMT,177,Shelter Type III,Lise Søndergaard Jensen,2023-05-15 17:17:51+02:00,Map,3,"Entrance, exit and shape are visible.",56.17763781666667,10.220143733333334,6226520.558622386,575746.1081820743,0.8,Trees,Forest,files/app/0d02031f-7f80-4102-9da4-574832e9e828_image-1684163935251.original.jpg,Located at Marienlund Allé. Entrance from where Grenaavej meets Dronning Margrethes Vej.,Doorway (Wooden door.),Sealed (as in a layer of concrete seals a doorway),S,visible and accessible.,files/app/60cca501-7600-4fc6-9f32-763276029f55_image-1684164001232.original.jpg,Square,Side,visible and accessible.,files/app/9fc18f1d-36f1-4d5c-921c-7cc747f34c44_image-1684164049969.original.jpg,0.30,not able to enter the shelter.,NA,Not any.
1000051684164087194,178-{Shelter_Type_III},Lise Søndergaard Jensen,2023-05-15 15:21:27.194 GMT,Lise Søndergaard Jensen,2023-05-15 15:22:44 GMT,178,Shelter Type III,Lise Søndergaard Jensen,2023-05-15 17:21:27+02:00,Map,3,"Entrance, exit and shape are visible.",56.1776762,10.2196314,6226524.267714159,575714.2289746798,0.8,Trees,Forest,files/app/0d78334b-1a99-4524-901e-a8f2920b59af_image-1684164168053.original.jpg,Located at Marienlund Allé. Entrance from where Grenaavej meets Dronning Margrethes Vej.,Concrete slabs,Barred (concrete slabs or earthen cover bar access fully or partially),SE,visible and accessible.,files/app/42adde3b-0e1a-41e7-9f36-6bbe0c6161a1_image-1684164182905.original.jpg,Square,Side,visible and accessible.,files/app/2bcb7d9e-6289-45eb-8716-4b1e47cbcc9e_image-1684164219849.original.jpg,0.40,not able to enter the shelter.,NA,Not any.
1000051684164285377,179-{Shelter_Type_III},Lise Søndergaard Jensen,2023-05-15 15:24:45.378 GMT,Lise Søndergaard Jensen,2023-05-15 15:29:05 GMT,179,Shelter Type III,Lise Søndergaard Jensen,2023-05-15 17:24:45+02:00,Map,4,"Entrance, exit and shape are visible.",56.17841225,10.217984533333333,6226604.376507226,575610.551122114,0.7,Grass (Trees),Street,files/app/18f70fc5-1e05-412f-bdc8-6091dd7343c4_image-1684164713326.original.jpg,Located at Vitus Bering Straede. Entrance from where Grenaavej or Jens Munks Vej.,Concrete slabs,Barred (concrete slabs or earthen cover bar access fully or partially),W,visible and accessible.,files/app/d87d716f-a7e6-4dcb-b3bc-e8910b37d0a3_image-1684164690730.original.jpg,Square,Side,visible and accessible.,files/app/d3fe634a-bce1-41d6-b5b5-eb94832dfe26_image-1684164829636.original.jpg,0.40,not able to enter the shelter.,NA,Not any.
1000051684164883855,180-{Shelter_Type_III},Lise Søndergaard Jensen,2023-05-15 15:34:43.855 GMT,Lise Søndergaard Jensen,2023-05-15 15:34:51 GMT,180,Shelter Type III,Lise Søndergaard Jensen,2023-05-15 17:34:43+02:00,Map,4,"Entrance, exit and shape are visible.",56.178384083333334,10.217959933333333,6226601.2148392815,575609.0794479062,0.6,Grass (trees),Street,files/app/0e09c1df-22b0-4931-b428-083c4ed624e9_image-1684164957386.original.jpg,Located at Vitus Bering Straede. Entrance from where Grenaavej or Jens Munks Vej.,Concrete slabs,Barred (concrete slabs or earthen cover bar access fully or partially),E,visible and accessible.,files/app/5301384b-279e-40e0-8747-5431eb24e622_image-1684165061978.original.jpg,Square,Side,visible and accessible.,files/app/6c7b0c37-cc2c-41d9-af53-1949197d47f6_image-1684164890029.original.jpg,0.40,not able to enter the shelter.,NA,Not any.
1000051684165185586,181-{Shelter_Type_III},Lise Søndergaard Jensen,2023-05-15 15:39:45.586 GMT,Lise Søndergaard Jensen,2023-05-15 15:40:29 GMT,181,Shelter Type III,Lise Søndergaard Jensen,2023-05-15 17:39:45+02:00,Map,4,"Entrance, exit and shape are visible.",56.178406816666666,10.217554066666667,6226603.299929929,575583.8406381665,0.6,Trees (grass),Street,files/app/b491fd81-51ed-491c-969b-914d80e904e6_image-1684165275981.original.jpg,Located at Vitus Bering Straede. Entrance from where Grenaavej or Jens Munks Vej.,Concrete slabs,Barred (concrete slabs or earthen cover bar access fully or partially),W,visible and accessible.,files/app/1b766e00-7773-4039-a6f0-ab708b61cb2f_image-1684165253933.original.jpg,Square,Side,visible and accessible.,files/app/d26d52ed-ace2-4556-bdee-af84605b3af6_image-1684165480694.original.jpg,0.0 (distance not visible.),not able to enter the shelter.,NA,Not any.
1000051684165591480,182-{Shelter_Type_III},Lise Søndergaard Jensen,2023-05-15 15:46:31.481 GMT,Lise Søndergaard Jensen,2023-05-15 15:46:54 GMT,182,Shelter Type III,Lise Søndergaard Jensen,2023-05-15 17:46:31+02:00,Map,4,"Entrance, exit and shape are visible.",56.178301266666665,10.217490633333334,6226591.4836423015,575580.1104222654,0.6,Trees (grass),Street,files/app/9b6b0c56-3c1e-4f41-82ab-d0bebdea8805_image-1684165621029.original.jpg,Located at Vitus Bering Straede. Entrance from where Grenaavej or Jens Munks Vej.,Concrete slabs,Barred (concrete slabs or earthen cover bar access fully or partially),E,visible and accessible.,files/app/0bda18e8-c266-4e8d-91a3-8099e8e89caa_image-1684165664359.original.jpg,Square,Side,visible and accessible.,files/app/8bcc4b37-b0c3-45b8-b834-e71f36539036_image-1684165686134.original.jpg,0.30,not able to enter the shelter.,NA,Not any.
1000051684166273941,183-{Shelter_Type_IV},Lise Søndergaard Jensen,2023-05-15 15:58:09.893 GMT,Lise Søndergaard Jensen,2023-05-15 16:04:31 GMT,183,"Shelter Type IV,Type IV-A",Lise Søndergaard Jensen,2023-05-15 17:57:53+02:00,Map,1,Exits are visible. Type IV-A.,56.17932906666667,10.20993655,6226697.615100585,575109.1830350684,0.6,Structure (Trees),Grassland or park,files/app/f3fb5745-be43-4e5c-b3bb-20f35b8504de_image-1684166677134.original.jpg (Maria stands close to entrance.),Located at Aarhus Fremad''s football stadium. Close to entrance from Bethesdavej.,Other (Metal plate.),Locked,NNE,visible and accessible.,files/app/1c2d8896-935d-41c8-9446-72fbc13db292_image-1684166470068.original.jpg,Round,Side,visible and accessible.,files/app/0ad87a30-2b8c-4560-85ca-c9452a82b8a7_image-1684166590972.original.jpg (exit NE end of shelter.) - files/app/49515681-258c-485c-8579-1daab5c78deb_image-1684166505718.original.jpg (exit at SW end of shelter.),2.0,not able to enter the shelter.,NA,not any.
1000051684167042833,184-{Shelter_Type_III},Lise Søndergaard Jensen,2023-05-15 16:11:11.858 GMT,Lise Søndergaard Jensen,2023-05-15 16:14:16 GMT,184,Shelter Type III,Lise Søndergaard Jensen,2023-05-15 18:10:42+02:00,Map,2,Visible in the surroundings.,56.17948205,10.206245016666667,6226710.626196378,574879.7389176218,0.6,Grass,Playground or schoolyard,files/app/3764f9e9-9d1a-4778-92ea-c42fa93159fc_image-1684167089522.original.jpg,Located at the corner of Klitrosevej and Valnoddevej.,Concrete slabs,Barred (concrete slabs or earthen cover bar access fully or partially),E,visible and accessible.,files/app/118599bf-e977-4756-a9f7-d96b494d6d3f_image-1684167155919.original.jpg,Square,Side,visible and accessible.,files/app/a1e469cf-f19d-40c9-89e5-9ba1011c7674_image-1684167212677.original.jpg,0.30,not able to enter the shelter,NA,not any.
1000051684167329578,185-{Shelter_Type_III},Lise Søndergaard Jensen,2023-05-15 16:15:29.579 GMT,Lise Søndergaard Jensen,2023-05-15 16:16:03 GMT,185,Shelter Type III,Lise Søndergaard Jensen,2023-05-15 18:15:29+02:00,Map,2,Visible in the surroundings.,56.17931125,10.205866199999999,6226691.206388284,574856.5569519937,0.6,Grass,Playground or schoolyard,files/app/0631cda0-b772-46c1-999a-33e32747c5dd_image-1684167407042.original.jpg,Located at the corner of Klitrosevej and Valnoddevej.,Concrete slabs,Barred (concrete slabs or earthen cover bar access fully or partially),S,visible and accessible.,files/app/830a0d69-a65a-406a-b748-e0ffddd86d8a_image-1684167368323.original.jpg,Square,Side,visible and accessible from the back of the shelter.,files/app/2c6eb1d2-5ceb-4b08-b6b3-7151e266c8e1_image-1684167487442.original.jpg,0.20,not able to enter the shelter,NA,not any.
1000051684168029924,186-{Shelter_Type_IV},Lise Søndergaard Jensen,2023-05-15 16:27:18.271 GMT,Lise Søndergaard Jensen,2023-05-15 16:31:05 GMT,186,Shelter Type IV,Lise Søndergaard Jensen,2023-05-15 18:27:09+02:00,Map,1,"Shape, entrance and exit are visible in the surroundings.",56.18320778333333,10.207901383333333,6227127.067278698,574975.2914822833,0.6,Grass,Street,files/app/b6512d32-62e1-4561-a411-2e6121ed0526_image-1684168206942.original.jpg,"Located at Risvang Alle, where Bethesdavej meets Risvang Alle.",Concrete slabs,Barred (concrete slabs or earthen cover bar access fully or partially),S,visible and accessible.,files/app/cb47c371-9172-4991-8289-e2c7141aa184_image-1684168094711.original.jpg,Round,Side,visible and accessible.,files/app/540bfd76-3144-45d0-83e2-be8d69f8d7cf_image-1684168130303.original.jpg,2.0,not able to enter the shelter.,NA,not any.
